Seconds, instMass, instFuel, Acceleration, Acceleration X, Acceleration Y, Total Speed, Speed X, Speed Y, Height, Delta X, Gravitational Acceleration
107, 1120000.0, 980000.0, 21.678440548593358,8.618641680097122, 19.891550975451594,1272.8259293487376 , 421.4586305721075, 1201.0239252982271, 50846.55053888172, 16259.478528176676, 9.671123812205504
108, 1110000.0, 970000.0, 21.968529884029525,8.777062405355409, 20.13900396737622,1294.4500995837889 , 430.07727225220464, 1220.9154762736787, 52047.57446417995, 16685.246479588834, 9.66750740893273
109, 1100000.0, 960000.0, 22.26373226489809,8.938955812117758, 20.390410573406076,1316.3621652015545 , 438.85433465756006, 1241.054480241055, 53268.489940453626, 17119.712283043715, 9.663833188950656
110, 1090000.0, 950000.0, 22.564196954032013,9.104420940906063, 20.64588345194118,1338.5671606428903 , 447.7932904696778, 1261.4448908144611, 54509.544420694685, 17563.036095607335, 9.660100509023591
111, 1080000.0, 940000.0, 22.870077654997925,9.273559852040167, 20.9055384914205,1361.0702671615643 , 456.89771141058384, 1282.0907742664024, 55770.98931150915, 18015.381596547468, 9.656308717297797
112, 1070000.0, 930000.0, 23.181532917869927,9.446478793110472, 21.16949472315296,1383.8768172099326 , 466.17127126262403, 1302.9963127578228, 57053.08008577555, 18476.91608788407, 9.652457153059352
113, 1060000.0, 920000.0, 23.498726380280107,9.623287997953932, 21.43787465220627,1406.9922991508602 , 475.6177500557345, 1324.1658074809757, 58356.076398533376, 18947.810598543252, 9.648545146485636
114, 1050000.0, 910000.0, 23.821826834124103,9.804099998934374, 21.710805073186258,1430.4223622349443 , 485.24103805368844, 1345.603682133182, 59680.24220601435, 19428.239992597963, 9.64457201839087
115, 1040000.0, 900000.0, 24.151009034524726,9.989033674324327, 21.98841612392556,1454.1728217904342 , 495.0451380526228, 1367.3144872063683, 61025.84588814753, 19918.383080651118, 9.640537079964794
116, 1030000.0, 890000.0, 24.486453500117673,10.178210244374155, 22.270842849671002,1478.2496649124962 , 505.03417172694714, 1389.302903330294, 62393.1603753539, 20418.422735540902, 9.636439632502265
117, 1020000.0, 880000.0, 24.828347243392823,10.371756480924535, 22.55822453871075,1502.659056286922 , 515.2123819713213, 1411.573746179965, 63782.4632786842, 20928.546012390038, 9.632278967126721
118, 1010000.0, 870000.0, 25.176883978771244,10.569803668742416, 22.85070540015663,1527.407344499175 , 525.5841384522458, 1434.1319707186756, 65194.03702486416, 21448.94427260182, 9.628054364502987
119, 1000000.0, 860000.0, 25.532264551410652,10.772488176918397, 23.14843475488946,1552.5010686509268 , 536.1539421209883, 1456.9826761188322, 66628.16899558283, 21979.813312888436, 9.623765094541627
120, 990000.0, 850000.0, 25.89469730001994,10.979951354777231, 23.451567463740787,1577.94696537453 , 546.9264302979067, 1480.1311108737216, 68085.15167170166, 22521.353499097884, 9.619410416092961
121, 980000.0, 840000.0, 26.264398552847815,11.19234034140296, 23.7602640773422,1603.751976237363 , 557.9063816526839, 1503.5826783374623, 69565.28278257539, 23073.76990507318, 9.614989576630414
122, 970000.0, 830000.0, 26.641592987816406,11.409807603829414, 24.074691428387297,1629.9232555919975 , 569.0987219940869, 1527.3429424148046, 71068.86546091286, 23637.272456896564, 9.610501811922058
123, 960000.0, 820000.0, 27.026514201923266,11.63251198562073, 24.395022746682365,1656.4681788478592 , 580.5085295979163, 1551.4176338431919, 72596.20840332766, 24212.076082692565, 9.605946345690207
124, 950000.0, 810000.0, 27.419405270343294,11.860619486546932, 24.721437878381444,1683.3943512428907 , 592.141041583537, 1575.8126565898742, 74147.62603717085, 24798.40086828329, 9.601322389257463
125, 940000.0, 800000.0, 27.82051903284356,12.09430156849341, 25.054124387556406,1710.7096171269804 , 604.001661070084, 1600.5340944682557, 75723.43869376072, 25396.472219610103, 9.596629141179143
126, 930000.0, 790000.0, 28.230118930592447,12.33373775205043, 25.39327721856791,1738.4220697121762 , 616.0959626385774, 1625.588218855812, 77323.97278822897, 26006.521031464436, 9.591865786861675
127, 920000.0, 780000.0, 28.64847943045671,12.579114556211072, 25.73909964740453,1766.5400614514951 , 628.4297003906278, 1650.98149607438, 78949.56100708479, 26628.78386297904, 9.587031498164002
128, 910000.0, 770000.0, 29.075886792058796,12.83062699762292, 26.0918033794617,1795.0722149699625 , 641.0088149468388, 1676.7205957217845, 80600.54250315917, 27263.503120647772, 9.582125432983226
129, 900000.0, 760000.0, 29.512639639586066,13.088478155979505, 26.451609366095557,1824.027434655298 , 653.8394419444618, 1702.8123991012462, 82277.26309888095, 27910.927249093424, 9.577146734822053
130, 890000.0, 750000.0, 29.95904973496434,13.352880088019122, 26.81874818810619,1853.4149188970177 , 666.9279201004413, 1729.2640084673417, 83980.0754979822, 28571.310930115877, 9.57209453233796
131, 880000.0, 740000.0, 30.415442628900998,13.624053337350006, 27.193460996589053,1883.2441730502312 , 680.2808001884604, 1756.0827566554478, 85709.33950644954, 29244.915290260327, 9.566967938872176
132, 870000.0, 730000.0, 30.882158828382487,13.902230460856385, 27.57599902296704,1913.5250231418536 , 693.9048535258104, 1783.2762176520368, 87465.42226310499, 29932.00811711746, 9.561766051957514
133, 860000.0, 720000.0, 31.35955417527512,14.187652371210392, 27.966625793357757,1944.2676304404401 , 707.8070839866667, 1810.852216675004, 89248.69848075703, 30632.8640858737, 9.55648795280284
134, 850000.0, 710000.0, 31.848001096856656,14.480571659047442, 28.365616832576986,1975.482506818313 , 721.9947363578772, 1838.8188424683617, 91059.55069743203, 31347.764996045975, 9.55113270575591
135, 840000.0, 700000.0, 32.34788964435612,14.781253622135322, 28.773260256730616,2007.180531086719 , 736.4753080169246, 1867.1844593009387, 92898.36953990039, 32077.000018233375, 9.545699357738556
136, 830000.0, 690000.0, 32.859628278674144,15.089974496809639, 29.18985851795579,2039.3729663198096 , 751.2565616390599, 1895.9577195576692, 94765.55399920134, 32820.865953061366, 9.540186937655514
137, 820000.0, 680000.0, 33.38364536557741,15.407025275225681, 29.615728085988273,2072.0714782115724 , 766.3465361358695, 1925.147578075625, 96661.51171875901, 33579.667501948825, 9.53459445577568
138, 810000.0, 670000.0, 33.92039004774665,15.732709367388539, 30.051201589163696,2105.288154598988 , 781.7535614110952, 1954.7633061616132, 98586.65929683464, 34353.71755072231, 9.52892090308118
139, 800000.0, 660000.0, 34.47033394768181,16.067346869118534, 30.496627470134005,2139.0355261795285 , 797.4862707784838, 1984.8145077507768, 100541.42260299624, 35143.3374668171, 9.523165250585727
140, 790000.0, 650000.0, 35.03397221604575,16.41127219084133, 30.952372353549627,2173.326588557941 , 813.5536176476023, 2015.3111352209107, 102526.23711074702, 35948.85741103015, 9.517326448616627
141, 780000.0, 640000.0, 35.61182529641489,16.764837181223, 31.418821353282148,2208.1748256864703 , 829.9648898384437, 2046.2635075744604, 104541.54824596793, 36770.61666477317, 9.511403426062053
142, 770000.0, 630000.0, 36.204440597545535,17.128412478289626, 31.896379182514984,2243.5942348288845 , 846.7297270196667, 2077.6823289277427, 106587.8117535424, 37608.963973202226, 9.50539508957736
143, 760000.0, 620000.0, 36.812394030485564,17.502386507586436, 32.38547237257449,2279.599353151561 , 863.8581394979564, 2109.5787081102576, 108665.49408247013, 38464.25790646103, 9.499300322750223
144, 750000.0, 610000.0, 37.43629212333129,17.887168554712076, 32.88654997166343,2316.2052860815807 , 881.3605260055429, 2141.964180482832, 110775.0727905804, 39336.867239212785, 9.49311798522224
145, 740000.0, 600000.0, 38.076774118313544,18.283190397925512, 33.40008497190204,2353.427737562891 , 899.2476945602549, 2174.8507304544955, 112917.03697106322, 40227.17134949568, 9.48684691176122
146, 730000.0, 590000.0, 38.73451399738015,18.69090577812637, 33.92657683596211,2391.283042361044 , 917.5308849581804, 2208.2508154263974, 115091.88770151771, 41135.560639254894, 9.48048591128317
147, 720000.0, 580000.0, 39.410223143561275,19.110794196711552, 34.466552386280654,2429.78820060966 , 936.2217907363068, 2242.1773922623593, 117300.1385169441, 42062.43697710214, 9.474033765820646
